,X,Y,Within_Boundary
0,-409036.15158266574,4930768.191504996,True
1,-412544.87475691485,4932927.405766073,True
2,-413354.5801048185,4937650.686962178,True
3,-418212.8121922403,4941159.410136427,True
4,-417133.2050617022,4947097.249354387,True
5,-422666.19160571037,4945207.936875945,True
6,-423340.9460622967,4939674.950331937,True
7,-417942.91040960577,4933467.209331342,True
8,-416458.4506051158,4929688.5843744585,True
9,-415378.8434745776,4924830.352287036,True
10,-410655.56227847305,4922131.334460692,True
11,-406067.2319736858,4922131.334460692,True
12,-401343.9507775812,4927124.517439431,True
13,-401074.04899494664,4933872.062005294,True
14,-398914.8347338703,4936436.128940322,True
15,-403368.2141473403,4936975.932505591,True
16,-398644.93295123574,4949256.463615463,False
17,-392302.2410593239,4950336.070746001,False
18,-392032.33927668934,4957893.320659769,False
19,-396350.7677988421,4962751.55274719,False
20,-398105.1293859667,4962481.650964556,False
21,-414164.28545272216,4966125.325030122,False
